"","name","Sex","Nation","sleeptime","steps","height","weight","IMC","Age"
"1","O_4913","M","SP",2.90217558773034,10761.4791828269,161.108314505846,65.9013663895401,25.389755050247,30.6218683464248
"2","B_6604","M","SP",7.20105977595896,10699.3194075065,169.07755568077,69.6966279095834,24.3803448925422,33.3808476002711
"3","H_8483","M","SP",10.5689348079769,10788.6690418198,164.841149827345,66.9531354257808,24.6399401982719,27.6568540345372
"4","A_2359","M","GB",15.2908519318064,12981.6732662856,165.82133588555,68.1430902395006,24.7822655040058,31.6825420021114
"5","C_7100","V","FR",6.8783339716198,11027.6482152298,175.759483166857,76.0902664444266,24.6315403272453,26.0428104000535
"6","G_915","V","GB",5.17117886503519,10891.2969412737,172.519211271711,74.1410073551452,24.9105636601804,27.3513679009541
"7","N_7680","M","GB",5.23141192918414,12668.7337040393,164.334818953906,66.9243208219909,24.7813402759865,33.583626688887
"8","V_5557","M","IT",5.40112716312483,12976.305644006,175.311369265286,73.0829631153899,23.7791312336382,30.5268349301906
"9","L_5137","V","IT",17.7529229710965,11035.5597244536,167.160403810207,70.8840114425069,25.367721656321,19.2970626347698
"10","T_6257","V","FR",4.53155321601421,11043.187305757,174.281022523259,74.5574513028943,24.5465722648088,27.3717676035449
"11","W_4618","V","SP",3.74125516356294,9086.12163717138,165.701928846923,70.6443718364127,25.7289723412586,28.4917357960338
"12","E_2218","M","SP",3.11206389201551,11029.5108695662,159.783297522081,64.8132988508948,25.386414532145,29.8917923442175
"13","U_7578","V","GE",4.63346008167081,11018.2248485219,169.535269519873,72.1374764886277,25.098098748886,24.9940124058645
"14","J_2522","M","SP",17.5713038487221,11105.3067134784,171.190504405942,70.6679292620554,24.1136538590251,29.0551132872798
"15","D_4733","M","BE",10.0598784429043,12835.9643749081,162.044087478085,66.0629156614414,25.1588831580151,28.5727434794098
"16","R_7346","V","SP",1.46131355369049,9060.99203235638,169.715380110013,73.0769582976229,25.3710277304186,28.8187440489543
"17","F_1317","V","GB",4.45456140669944,10746.1936951143,170.96652272527,73.1836528843646,25.0375555372323,25.5521857578866
"18","M_6531","M","SP",5.32030891645118,11263.0629039228,165.230654934597,67.827794128171,24.8442816891912,32.6203099675187
"19","K_5886","V","SP",9.86565545251992,9070.39159373481,178.726265282576,77.7113237546695,24.3280638119565,29.1391911656965
"20","Q_5786","M","IT",14.690768493542,12922.6784554176,175.457943713007,73.0430157848313,23.7264424754542,27.9365358070438
"21","P_7004","V","SP",2.9188059490508,9250.84942220592,180.099843497669,78.7702586141492,24.2848597941116,36.4197659649328
"22","I_8393","V","FR",3.73534100371072,11056.3278783445,164.308523706823,69.4265761643088,25.7161269477702,22.3604463258651
"23","S_7467","V","GB",8.89772800477289,10986.7642736622,176.723113274686,76.2614272206365,24.4184572137805,28.8985664813003
"24","O_2669","V","FR",16.8278808719912,11364.8327076619,161.889844042913,67.9250567406014,25.9173623425071,28.5372528191854
"25","B_4623","M","SP",16.6380305232741,11368.3840419002,161.819073378776,65.9551060568098,25.1877284857449,34.6841327642079
"26","H_9449","M","GB",18.2319816945367,13471.6877783397,177.702025701075,74.501323984479,23.5927862870801,32.5771058771487
"27","A_444","V","SP",13.5490454850929,9111.39606399457,183.857894679196,79.7400903136821,23.5891427011404,19.5670298165148
"28","C_226","M","SP",4.62853966032738,10910.8745571503,168.783120339359,68.8478688189732,24.1675417855967,29.8311861191734
"29","G_6492","M","SP",3.35110175193852,10972.4729361806,167.198701178279,68.9154204938081,24.6519121536855,33.9169045380061
"30","N_4713","V","IT",5.21074778003339,11121.5089942576,161.581100672224,68.07788132936,26.0750354264927,30.1517799121596
"31","V_2985","V","SP",1.95995375371634,9482.6692038029,175.409192804167,75.5870578562441,24.5664691378054,31.6863316603701
"32","L_2197","M","BE",9.29140910589037,13425.5277128567,175.003975579918,72.2115483388063,23.5782097973983,27.2631250948622
"33","T_3939","M","IT",9.14920088262548,13260.5597832989,155.671114271371,62.8332902851538,25.9282815635752,28.8414031627623
"34","W_3565","V","FR",8.92190963650238,11091.5120023,173.785857776187,74.6086802884684,24.7036140930222,28.5130872112393
"35","E_920","M","PT",5.20751555949203,13341.2420193273,166.808201801932,68.5710225644262,24.6436949667641,28.3909294039255
"36","U_3191","V","SP",1.57157249141352,9352.84538749728,172.674227628773,74.509486654708,24.9894401822454,28.5352547485219
"37","J_3020","V","IT",6.35453992004339,11144.7186600771,163.445900054032,69.9547791415459,26.1860099002821,31.7659319729465
"38","D_7353","M","SP",3.58485231845565,11151.645308779,176.350126172968,73.3970796085765,23.6008275042038,29.7837756924651
"39","R_5245","M","PT",10.6012751725809,12936.9007917852,172.447017895267,71.6900673767264,24.1072466545975,30.7848592975595
"40","F_8918","V","PO",16.5623260933639,11092.6373962457,177.224239879129,76.089026585612,24.2256692476355,21.8765541424125
"41","M_380","M","SP",4.03802435323177,10525.0021469914,167.209172042102,68.8463556027225,24.6241224928039,29.2296749283136
"42","K_986","M","SP",3.12911336355169,10939.1478158053,164.916589261942,67.5083338843827,24.8215387510656,32.6782247729938
"43","Q_9415","V","IR",6.71284459411371,10839.0201050816,170.379797877135,72.8169899564536,25.0839845777803,23.3538802904971
"44","P_2745","V","SP",9.7276866001652,8908.0733403468,179.787183627538,78.1860837584373,24.1886706887085,27.7511651365451
"45","I_596","V","FR",5.85473627507581,11268.1479871785,176.145119737428,76.2526121393294,24.5761299821754,28.5478580522294
"46","S_5446","V","IT",12.4175309729387,11351.1378326446,182.144024289643,79.5866400883072,23.9888989571769,27.547203549217
"47","O_6123","M","IT",16.8378743168239,12997.5780367025,158.008115884427,63.4355562584215,25.4082037548614,28.856196868003
"48","B_263","M","PO",16.3696532948425,12652.5702542571,158.578947181519,63.9369886849614,25.4250091286893,30.3344944165808
"49","H_3532","M","GE",8.57834068299852,13113.1028326181,151.492918520866,60.1649270979878,26.2155352973845,25.9136754477886
"50","A_5319","M","FR",20.4624428821389,12990.3729279577,154.27597013074,61.4823361795893,25.8317476347108,30.5902281915242
"51","C_6014","M","PT",5.71329840762557,12845.5194175924,156.034824410058,62.7518187951934,25.7740843073257,31.4450698513755
"52","G_7532","V","FR",4.46377966675256,10979.3095015479,170.332198750147,72.8766956119743,25.1185848058976,31.298493838016
"53","N_8164","V","SP",12.1009558489148,8914.8852204286,170.976366975511,73.1746890951185,25.0316061279117,26.909140130329
"54","V_6776","V","IT",4.77767459704752,10857.7173658814,175.328101060489,75.8776307858236,24.6837252537555,30.4043925258984
"55","L_2271","M","GB",5.85989753271146,12689.7069241155,158.021531858129,64.0397952587648,25.6458678292891,31.375652084853
"56","T_7629","V","GB",10.0153305314589,10839.8069431281,164.629901952013,69.7000581327273,25.7167273954951,28.3067173993542
"57","W_7698","V","PT",12.5646695606892,11048.3018077122,185.805602417447,81.1980737089228,23.5195017409531,26.6060265029758
"58","E_4294","V","IR",7.88523056137679,10680.5276431096,170.156781288506,73.0062950753227,25.2151633419923,29.920892372232
"59","U_9271","M","FR",7.42356359614994,12848.0345179456,162.049465447184,66.2909665097498,25.244056613308,28.8658400713408
